ID X Y Z Length
132 230.00000000 270.00000000  70.00000000 500.00000000
133 230.00000000 270.00000000  70.00000000 500.00000000
134 230.00000000 270.00000000  70.00000000 500.00000000
135 230.00000000 270.00000000  70.00000000 500.00000000
136 230.00000000 270.00000000  70.00000000 500.00000000
137 230.00000000 270.00000000  70.00000000 500.00000000
138 230.00000000 270.00000000  70.00000000 500.00000000
139 230.00000000 270.00000000  70.00000000 500.00000000
140 230.00000000 270.00000000  70.00000000 500.00000000
141 230.00000000 270.00000000  70.00000000 500.00000000
142 230.00000000 270.00000000  70.00000000 500.00000000
143 230.00000000 270.00000000  70.00000000 500.00000000
144 230.00000000 270.00000000  70.00000000 500.00000000
145 230.00000000 270.00000000  70.00000000 500.00000000
146 230.00000000 270.00000000  70.00000000 500.00000000
147 230.00000000 270.00000000  70.00000000 500.00000000
148 230.00000000 270.00000000  70.00000000 500.00000000
149 230.00000000 270.00000000  70.00000000 500.00000000
150 230.00000000 270.00000000  70.00000000 500.00000000
151 230.00000000 270.00000000  70.00000000 500.00000000
152 230.00000000 270.00000000  70.00000000 500.00000000
153 230.00000000 270.00000000  70.00000000 500.00000000
154 230.00000000 270.00000000  70.00000000 500.00000000
155 230.00000000 270.00000000  70.00000000 500.00000000
156 230.00000000 270.00000000  70.00000000 500.00000000
157 230.00000000 270.00000000  70.00000000 500.00000000
158 230.00000000 270.00000000  70.00000000 500.00000000
159 230.00000000 270.00000000  70.00000000 500.00000000
160 230.00000000 270.00000000  70.00000000 500.00000000
161 230.00000000 270.00000000  70.00000000 500.00000000
162 230.00000000 270.00000000  70.00000000 500.00000000
163 230.00000000 270.00000000  70.00000000 500.00000000
164 230.00000000 270.00000000  70.00000000 500.00000000
165 230.00000000 270.00000000  70.00000000 500.00000000
166 230.00000000 270.00000000  70.00000000 500.00000000
167 230.00000000 270.00000000  70.00000000 500.00000000
168 230.00000000 270.00000000  70.00000000 500.00000000
169 230.00000000 270.00000000  70.00000000 500.00000000
170 230.00000000 270.00000000  70.00000000 500.00000000
171 230.00000000 270.00000000  70.00000000 500.00000000
172 230.00000000 270.00000000  70.00000000 500.00000000
173 230.00000000 270.00000000  70.00000000 500.00000000
174 230.00000000 270.00000000  70.00000000 500.00000000
175 230.00000000 270.00000000  70.00000000 500.00000000
176 230.00000000 270.00000000  70.00000000 500.00000000
177 230.00000000 270.00000000  70.00000000 500.00000000
178 230.00000000 270.00000000  70.00000000 500.00000000
179 230.00000000 270.00000000  70.00000000 500.00000000
